timestamp,date_time,traffic_index,jams_count,jams_length,jams_delay,traffic_index_weekago,weekday
1675357290,2023-02-03 00:01:30.000,1,27,26.5,98.5,0,Friday
1675360890,2023-02-03 01:01:30.000,0,14,20.9,37.2,0,Friday
1675364490,2023-02-03 02:01:30.000,0,19,33.3,49.4,0,Friday
1675368090,2023-02-03 03:01:30.001,0,12,32.3,56.6,0,Friday
1675371690,2023-02-03 04:01:30.000,0,24,46.3,66.4,0,Friday
1675377990,2023-02-03 05:46:30.000,2,23,28.2,59.7,0,Friday
1675381590,2023-02-03 06:46:30.001,41,602,388.0,3121.3,22,Friday
1675385190,2023-02-03 07:46:30.000,70,783,556.1,4594.8,43,Friday
1675386090,2023-02-03 08:01:30.000,73,770,546.3,4406.7,46,Friday
1675389690,2023-02-03 09:01:30.000,63,503,385.9,2585.4,43,Friday
1675393290,2023-02-03 10:01:30.000,50,360,288.1,1718.3,37,Friday
1675396890,2023-02-03 11:01:30.000,46,354,307.8,1737.7,39,Friday
1675400490,2023-02-03 12:01:30.000,43,349,278.6,1572.3,37,Friday
1675406790,2023-02-03 13:46:30.001,37,443,248.9,1693.0,33,Friday
1675410390,2023-02-03 14:46:30.000,50,612,413.9,2821.4,49,Friday
1675413990,2023-02-03 15:46:30.000,56,636,439.9,2942.4,54,Friday
1675417590,2023-02-03 16:46:30.000,60,693,492.9,3227.4,58,Friday
1675421190,2023-02-03 17:46:30.000,83,1046,751.1,5640.3,80,Friday
1675422990,2023-02-03 18:16:30.000,92,1006,739.4,5709.4,86,Friday
1675425690,2023-02-03 19:01:30.000,85,673,527.1,3691.3,74,Friday
1675429290,2023-02-03 20:01:30.001,71,575,426.4,2991.0,61,Friday
1675432890,2023-02-03 21:01:30.000,52,359,279.2,1875.0,48,Friday
1675436490,2023-02-03 22:01:30.001,39,205,183.9,1008.4,37,Friday
1675440090,2023-02-03 23:01:30.000,27,102,107.2,532.7,25,Friday
